Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010]
GDP per capita (current US$),NY.GDP.PCAP.CD,Marshall Islands,MHL,1758.40821,1810.634656,1963.072346,2112.012401,2265.069584,2490.987445,2272.844695,2230.753771,2264.791149,2394.345011,2566.067088,2539.330738,2566.08291,2658.652179,2754.269888,2892.28404,2817.605228,2906.63027,3095.45769
GDP per capita (current US$),NY.GDP.PCAP.CD,Mauritania,MRT,772.0330921,1061.677043,1036.474378,849.6203017,864.5994784,904.7191701,904.1208798,859.2839582,680.9110619,651.8178402,648.8796439,732.0178208,823.5544571,998.9658342,1300.60368,1405.150162,1635.563062,1435.430108,1659.963697
GDP per capita (current US$),NY.GDP.PCAP.CD,Mauritius,MUS,2539.928465,2705.266482,3013.237063,3013.833138,3240.386247,3648.016496,3951.944946,3695.736688,3981.983432,3908.556949,4073.060531,4858.265755,5460.608002,5354.029743,5784.224919,6677.375386,8140.479836,7426.861373,8113.176707
GDP per capita (current US$),NY.GDP.PCAP.CD,Mexico,MEX,3154.469203,3708.842055,4220.566437,6048.348404,6202.365884,4183.878477,4674.367927,5567.355995,7524.027138,7952.764795,7983.033984,7434.07465,7849.667596,8671.758918,9512.635753,10134.33271,10523.76854,8423.569331,9728.800783
GDP per capita (current US$),NY.GDP.PCAP.CD,"Micronesia, Fed. Sts.",FSM,1459.043692,1617.455282,1699.330191,1853.062597,1856.520743,1995.191872,1955.97507,1840.239126,2049.3449,2103.748498,2113.459555,2145.8779,2104.427965,2216.996374,2257.764452,2302.511831,2395.902181,2565.836398,2715.268737
GDP per capita (current US$),NY.GDP.PCAP.CD,Moldova,MDA,1206.502087,1037.899503,778.0176674,796.9893888,573.7986472,593.593177,575.1454551,657.2921346,440.538684,507.4040763,570.7998662,682.319096,897.1784947,1034.391977,1183.024814,1531.216186,2110.553054,1898.439757,2436.799351
GDP per capita (current US$),NY.GDP.PCAP.CD,Monaco,MCO,81734.8665,80997.25209,88614.92637,82685.45593,86703.81305,99032.23751,98561.01374,88581.70447,81789.01451,82402.77464,90051.44631,111110.4605,125160.2829,130538.7114,143083.5094,184558.4554,204263.8932,169150.3376,161853.9227
GDP per capita (current US$),NY.GDP.PCAP.CD,Mongolia,MNG,1220.171277,1098.680174,607.8134247,354.8986131,422.8643494,652.6745628,595.581015,515.2980049,476.0275508,524.4534836,570.2492132,643.1680689,794.154552,994.9001091,1329.891796,1627.687877,2127.426786,1703.327568,2625.218814
GDP per capita (current US$),NY.GDP.PCAP.CD,Montenegro,MNE,..,..,..,..,..,..,..,1375.326168,1627.065119,1909.598702,2109.306319,2789.954351,3386.380994,3675.988513,4422.551726,5979.438132,7390.014813,6726.675897,6678.639396
GDP per capita (current US$),NY.GDP.PCAP.CD,Morocco,MAR,1229.071045,1292.233765,1327.029541,1226.430542,1358.794434,1466.788208,1596.832397,1426.301147,1499.107422,1506.245239,1596.02063,1941.872559,2183.55542,2242.988281,2438.126465,2755.585938,3183.200439,3119.588623,3067.985352
GDP per capita (current US$),NY.GDP.PCAP.CD,Mozambique,MOZ,..,288.7080925,205.5852161,205.1898442,196.7631432,191.8260969,244.362651,287.5320915,327.1262398,304.7921386,313.8866617,339.4887378,400.0569732,436.7738562,457.4876478,507.8749239,592.1591112,547.6971442,496.1858394
GDP per capita (current US$),NY.GDP.PCAP.CD,Myanmar,MMR,53.12254011,51.24089706,58.88967396,76.21288948,105.3915611,124.1434804,141.8972676,108.0397703,196.6195806,141.5256607,146.5983904,224.2926889,224.5088114,252.6851931,303.4950871,419.3757807,658.4424872,758.4429358,1010.534173
GDP per capita (current US$),NY.GDP.PCAP.CD,Namibia,NAM,2037.475894,2116.905525,2346.86243,2154.964737,2355.904457,2483.203534,2423.398291,2459.645118,2156.675905,1915.589266,1772.075655,2569.247393,3403.154962,3685.773,4017.183472,4379.043137,4204.785554,4302.913741,5418.216334
GDP per capita (current US$),NY.GDP.PCAP.CD,Naoero,NRU,5775.553474,5333.379549,5102.596859,4310.244333,3920.53973,3932.091094,3678.562429,3661.028467,2648.601529,2232.30874,2084.648245,2463.282591,3040.513499,2992.403828,2910.141458,2272.152913,3756.845312,4410.567647,4735.920005
GDP per capita (current US$),NY.GDP.PCAP.CD,Nepal,NPL,185.7946004,195.7166214,165.0295941,172.8052026,187.2581762,197.8430013,198.8219074,211.8348696,223.8302892,240.7951145,238.891403,246.4297066,279.58775,309.0241683,340.4317964,385.4497677,464.8173919,473.0787512,585.278492
GDP per capita (current US$),NY.GDP.PCAP.CD,Netherlands,NLD,21322.19448,21764.2145,23939.21735,23156.44044,24682.58667,29301.19405,29063.62365,26744.96013,26225.16977,26955.7128,29446.53309,35896.75046,40611.34144,42165.39617,45123.54324,52100.79963,58246.70269,53172.02616,51305.73385
GDP per capita (current US$),NY.GDP.PCAP.CD,New Caledonia,NCL,14334.68074,14642.51797,15713.71986,14787.21651,15534.30933,18107.88808,17592.05027,15704.95935,15329.72972,14482.36063,16104.55204,20768.10615,24475.64885,25528.29184,28193.25376,35177.65353,35723.90332,33836.49408,35798.90848
GDP per capita (current US$),NY.GDP.PCAP.CD,New Zealand,NZL,13663.02162,12230.07345,11793.13924,13094.34545,15280.31278,17400.42018,18794.43604,17474.18703,13641.10272,13882.85683,16874.18749,21913.70817,25420.23488,27751.06547,26654.5932,32479.98174,31324.7398,28276.72554,33761.90096
GDP per capita (current US$),NY.GDP.PCAP.CD,Nicaragua,NIC,242.5083906,349.5143186,411.4733307,394.378074,849.1793314,891.7793523,910.8616459,912.7574298,1017.312443,1051.874236,1014.333904,1021.352167,1098.621187,1183.30214,1248.173716,1350.381458,1523.684371,1467.082881,1526.56707
