Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010]
GDP (current US$),NY.GDP.MKTP.CD,Caribbean small states,CSS,13573367099.5127,13946896742.2113,14242986936.367,13815833341.5092,14793002834.8762,15732201525.3694,16941993239.8086,20074931520.308,21643804665.0628,23393912390.0523,25625542926.4456,26504661126.1591,27742046925.4435,30589389405.8968,33597817092.3498,38224293958.7281,44325879983.2222,49739222993.1148,57296315261.9305,47913515379.1154,52803409572.0273
GDP (current US$),NY.GDP.MKTP.CD,Central Europe and the Baltics,CEB,276777263070.302,244245640082.434,252364702967.012,267674623020.581,304448250407.602,388889205136.785,411186267612.59,405325268750.504,442779325890.267,426345402233.075,420823859911.381,460153265512.377,518049996936.665,621437270110.894,749236864681.291,871993037920.824,987675979323.667,1254691637899,1526123276964.15,1289261661160.8,1319446244881.88
GDP (current US$),NY.GDP.MKTP.CD,Early-demographic dividend,EAR,1915395300809.75,2032060802129.33,2207917972523.96,2381903872502.73,2502051602237.2,2616760247005.8,2836276821587.56,3029896330909.83,2921202598159.09,3090767584477.85,3378193447814.03,3351551499259.02,3255788416655.75,3622383752487.14,4209610787468.93,4897661936723.59,5600150744578.7,6630769690203.11,7464456008410.04,7181684474649.47,8728192674219.64
GDP (current US$),NY.GDP.MKTP.CD,East Asia & Pacific,EAS,4870448081100.07,5504103130127.46,6016741720049.82,6732486122257.93,7530779339791.84,8528716916020.78,8228628055250.14,7860107080825.3,7007987267442.95,7826875274857.83,8486535433030.27,7890593533286.75,8019320137887.65,8807340167908.37,9868085960844.77,10526916106059.6,11166176306011.2,12482468447983.2,14397041627177.2,14811619687570.6,17291859920837.7
GDP (current US$),NY.GDP.MKTP.CD,East Asia & Pacific (excluding high income),EAP,667410241508.278,724654932688.966,812994672964.462,892446273872.149,1074481772219.03,1325739943459.39,1523108085149.4,1576765689262.96,1441284604893.38,1587766769234.25,1748618348962.32,1862932027333.99,2063860728512.8,2337899791169.99,2712364424547.48,3140095880510.48,3783277937264.24,4787055911779.71,6062020651659.77,6581355241401.19,8008612939930.06
GDP (current US$),NY.GDP.MKTP.CD,East Asia & Pacific (IDA & IBRD countries),TEA,666725912038.334,723904575173.197,812130263840.671,891466245843.004,1073279171690.89,1324237119504,1521371528101.19,1574968030482.32,1439654527489.21,1585945646832.78,1746600304145.18,1860776095171.98,2061454246158.09,2335145056826.44,2709157341038.36,3136370768809.06,3778749876885.47,4781266905492.39,6054649425101.54,6573323824227.51,7998793934320.62
GDP (current US$),NY.GDP.MKTP.CD,Euro area,EMU,5930533130402.98,6132817301223.23,6756330192255.26,6188568278738.88,6536616886781.35,7553162009471.07,7635464160643.11,6983168724241.48,7182324521394.46,7152815111745.68,6533285976076.88,6636734730022.05,7247791094758.98,8929519218443.93,10242911187425.1,10627971366602,11309041991993.2,13035176682196.7,14346208350010.2,13135138604358.3,12835436183865.7
GDP (current US$),NY.GDP.MKTP.CD,Europe & Central Asia,ECS,8878726012343.54,9138089898100.33,9788468740273.42,8995636772541.42,9408153883833.36,10940729460750.2,11168606418195.9,10603796378822.8,10797712209603.4,10686389670550.3,10078047371487,10182615561468.2,11150184165050.7,13558532492379.2,15806093490340.9,16828963477327.4,18232780756499.3,21312176373245.5,23464214449944,20665617638433.4,21144686639874.4
GDP (current US$),NY.GDP.MKTP.CD,Europe & Central Asia (excluding high income),ECA,354162047861.415,341091427145.219,328456061561.192,339240955303.574,265720716949.43,373850853754.823,395418991591.802,420620916289.984,421392804209.247,384494001094.165,391265288460.481,335654261833.442,390539574547.918,498100392298.148,641354851059.115,798910158032.869,929653913665.92,1171564532812.61,1402469464526.39,1169850373591.65,1390857073642.43
GDP (current US$),NY.GDP.MKTP.CD,Europe & Central Asia (IDA & IBRD countries),TEC,1023447655222.17,1001726332504.6,928560950239.102,919184389271.211,828931569961.887,991386506668.089,1021246372670.98,1056346888859.98,949940635053.96,824136419159.807,896296644399.434,911685748933.185,1024837356677.88,1261025229727.55,1631386098916.6,2043000026365.16,2471291016359.46,3179151934107.3,3936202053332.51,3121840190453.83,3673616542653.72
